t	x	y
0.	1	-0.0015300421949362368
0.125	0	0.01747640433630593
0.25	0	0.03276328181345412
0.375	0	0.046018338838127615
0.5	0	0.05765610442079145
0.625	0	0.07188609238123814
0.75	0	0.08164017950156627
0.875	0	0.09255823812677273
1.	0	0.09987786531303744
1.125	0	0.10564825136086226
1.25	0	0.11043732206215491
1.375	0	0.11672346093352287
1.5	0	0.11487998914347246
1.625	0	0.11691437788215558
1.75	0	0.11326983544694229
1.875	0	0.10945720885949504
2.	0	0.10352649406955448
2.125	0	0.0954902634990449
2.25	0	0.08660894925772553
2.375	0	0.07678338839617406
2.5	0	0.06446630538647753
2.625	0	0.05266572092446476
2.75	0	0.040753748441860686
2.875	0	0.029434875917994888
3.	0	0.014679027215895405
3.125	0	0.0021419298223041595
3.25	0	-0.010676949686719086
3.375	0	-0.02392315683644728
3.5	0	-0.03884502570583672
3.625	0	-0.0493387530463934
3.75	0	-0.06078386576183605
3.875	0	-0.06956912237892468
4.	0	-0.07848319720449984
4.125	0	-0.08704260159511944
4.25	0	-0.0914795650347658
4.375	0	-0.09675581252404415
4.5	0	-0.09705571109715248
4.625	0	-0.10085367951269172
4.75	0	-0.09711822209041608
4.875	0	-0.09865152107005887
5.	0	-0.09236737755615321
5.125	0	-0.08722323346149949
5.25	0	-0.0822934292007904
5.375	0	-0.07631204372357071
5.5	0	-0.06652047180722617
5.625	0	-0.0555314304985855
5.75	0	-0.047217095888227284
5.875	0	-0.03568766446190267
6.	0	-0.023159966617946
6.125	0	-0.013878559140606745
6.25	0	-0.0027183907331863088
6.375	0	0.008001814732384928
6.5	0	0.02094368949140032
6.625	0	0.03266050648480168
6.75	0	0.042605386817012765
6.875	0	0.05125356388629627
7.	0	0.0590652299887841
7.125	0	0.06828601530451107
7.25	0	0.07431413124254846
7.375	0	0.07871024635669895
7.5	0	0.08110572918040826
7.625	0	0.08501883097725854
7.75	0	0.08342385359624499
7.875	0	0.0848474946254973
8.	0	0.08468555455102532
8.125	0	0.08051837275693638
8.25	0	0.07578793003393118
8.375	0	0.06927165317027618
8.5	0	0.06447865528430137
8.625	0	0.057634596265743396
8.75	0	0.04890412357327025
8.875	0	0.03953293473808239
9.	0	0.031329269476524826
9.125	0	0.02337012506702009
9.25	0	0.010684136248847901
9.375	0	0.0018517457520760407
9.5	0	-0.0070727265261126574
9.625	0	-0.015351795438358714
9.75	0	-0.027449714696959143
9.875	0	-0.03612681232068179
10.	0	-0.04470431781095177
10.125	0	-0.04923629697808782
10.25	0	-0.05846071495345407
10.375	0	-0.0617228661240776
10.5	0	-0.06455439048132805
10.625	0	-0.06806033716337834
10.75	0	-0.0695776549792264
10.875	0	-0.0729143982817777
11.	0	-0.07100711430631944
11.125	0	-0.07095976728263167
11.25	0	-0.06931917292297118
11.375	0	-0.06404117542604645
11.5	0	-0.060770442343384974
11.625	0	-0.05540568535459748
11.75	0	-0.04848611883955607
11.875	0	-0.04185204431592849
12.	0	-0.03407345718320537
12.125	0	-0.027526711003916234
12.25	0	-0.017619067390134878
12.375	0	-0.009225840373002643
12.5	0	-0.003570774412782408
12.625	0	0.005544880941261976
12.75	0	0.015920838219271333
12.875	0	0.02124798135754969
13.	0	0.029259093435933938
13.125	0	0.036913130662427046
13.25	0	0.04282378449796989
13.375	0	0.04887034634302766
13.5	0	0.051334982904538314
13.625	0	0.05552275418686187
13.75	0	0.05856742265078399
13.875	0	0.05992430440775237
14.	0	0.06374657185822903
14.125	0	0.06365569244800261
14.25	0	0.05967821010907029
14.375	0	0.060117784993347405
14.5	0	0.05459617759956229
14.625	0	0.05325885229189931
14.75	0	0.049084834426291316
14.875	0	0.04311556251639744
15.	0	0.0348881465155392
15.125	0	0.0287119217686737
15.25	0	0.02299531041135074
15.375	0	0.01772522843527163
15.5	0	0.007699831331011866
15.625	0	0.003913946644275992
15.75	0	-0.005759166797734003
15.875	0	-0.00982501953487082
16.	0	-0.020241671268320997
16.125	0	-0.02342102929007743
16.25	0	-0.030577317398268
16.375	0	-0.036087483314391704
16.5	0	-0.04109966235846996
16.625	0	-0.044892370226710485
16.75	0	-0.049500005096166
16.875	0	-0.05091414351589408
17.	0	-0.052701784094016026
17.125	0	-0.052490523844045976
17.25	0	-0.052425455364865245
17.375	0	-0.05161161593212871
17.5	0	-0.04949565483259411
17.625	0	-0.04617746717580878
17.75	0	-0.04349094509510838
17.875	0	-0.04180805165271339
18.	0	-0.037284833250244495
18.125	0	-0.03163139744022301
18.25	0	-0.026884033908534048
18.375	0	-0.019160920575026465
18.5	0	-0.01609459587926244
18.625	0	-0.0104428944154627
18.75	0	-0.0027103953446169417
18.875	0	0.0040309092767814615
19.	0	0.010845162377419337
19.125	0	0.01381398154296068
19.25	0	0.02057708641396617
19.375	0	0.02707148875318719
19.5	0	0.029521028173209445
19.625	0	0.03450287513772162
19.75	0	0.03650570561259953
19.875	0	0.041619167310252426
20.	0	0.042321873570841655
20.125	0	0.045459084007969906
20.25	0	0.04410456381553092
20.375	0	0.04685555608534426
20.5	0	0.04370078999367183
20.625	0	0.04197116985917281
20.75	0	0.03971628313752438
20.875	0	0.03929149097503968
21.	0	0.03501078068367022
21.125	0	0.030300537891197046
21.25	0	0.02779089485729166
21.375	0	0.024711434939095188
21.5	0	0.0173805018752242
21.625	0	0.013736276224068067
21.75	0	0.0062711953058809545
21.875	0	0.0009072942456239451
22.	0	-0.004354158897321167
22.125	0	-0.00615085233684291
22.25	0	-0.012542601760719026
22.375	0	-0.01722696931851224
22.5	0	-0.023041010608948607
22.625	0	-0.023814805644573864
22.75	0	-0.02814595129400939
22.875	0	-0.030637150139337457
23.	0	-0.032802868934363946
23.125	0	-0.03583654609464333
23.25	0	-0.038601558488784604
23.375	0	-0.038577504282722344
23.5	0	-0.04048112416927398
23.625	0	-0.03623395523684601
23.75	0	-0.0367495868837725
23.875	0	-0.033645317183468824
24.	0	-0.031421265487399645
24.125	0	-0.030404993015272608
24.25	0	-0.026841712415743894
24.375	0	-0.02195907185992863
24.5	0	-0.02005447165760164
24.625	0	-0.014563705924378563
24.75	0	-0.012674844930889538
24.875	0	-0.005472449818071209
25.	0	-0.0025218479415186814
25.125	0	0.0010771534649915183
25.25	0	0.0056540234120723565
25.375	0	0.010285678805804345
25.5	0	0.01421529349359216
25.625	0	0.019801592188147074
25.75	0	0.022146594262199715
25.875	0	0.02567724913730771
26.	0	0.029114589296824284
26.125	0	0.031021140433667847
26.25	0	0.029333484660989197
26.375	0	0.032835964215424104
26.5	0	0.03261327585407931
26.625	0	0.03154557556668866
26.75	0	0.03448840513687759
26.875	0	0.02963529984958868
27.	0	0.030941997268573884
27.125	0	0.029557598821133506
27.25	0	0.026447559515477243
27.375	0	0.023368334088864646
27.5	0	0.020600757525387765
27.625	0	0.01767890540949443
27.75	0	0.01533777338696292
27.875	0	0.009638108917927782
28.	0	0.00697902054342446
28.125	0	0.003410856567198579
28.25	0	0.00014475168949912385
28.375	0	-0.0036127087780456406
28.5	0	-0.0095202590302173
28.625	0	-0.013305324387245
28.75	0	-0.0149274854344062
28.875	0	-0.0173941859970335
29.	0	-0.019432617358681875
29.125	0	-0.021221749925613067
29.25	0	-0.02489811027117574
29.375	0	-0.025042521505568755
29.5	0	-0.026576350538020807
29.625	0	-0.02664357744440297
29.75	0	-0.0272008227075585
29.875	0	-0.028415854071805025
30.	0	-0.02510436266703804
30.125	0	-0.02523908315236298
30.25	0	-0.025817160467482368
30.375	0	-0.023970798671593612
30.5	0	-0.021095884049891996
30.625	0	-0.01820887726982129
30.75	0	-0.015596263092793479
30.875	0	-0.010960156039169484
31.	0	-0.010689868564344339
31.125	0	-0.006638639335185813
31.25	0	-0.002013999234595583
31.375	0	0.0018897321855607186
31.5	0	0.004685511738205005
31.625	0	0.006895245748819822
31.75	0	0.008825526008116018
31.875	0	0.011077630475320543
32.	0	0.015243663881764206
32.125	0	0.017091652288735666
32.25	0	0.0208740430925698
32.375	0	0.020123656157407254
32.5	0	0.021897060014355103
32.625	0	0.02448184210914922
32.75	0	0.023149473795683516
32.875	0	0.025506808145874717
33.	0	0.024090822428134078
33.125	0	0.024069415912546993
33.25	0	0.0235149889864972
33.375	0	0.019776812549730648
33.5	0	0.019993513587246468
33.625	0	0.01654790898396549
33.75	0	0.014203406323812584
33.875	0	0.013276287636987478
34.	0	0.0120991226056239
34.125	0	0.007822254382932783
34.25	0	0.003518966906966552
34.375	0	0.001607453445085386
34.5	0	0.0012778775365582396
34.625	0	-0.003459968856517463
34.75	0	-0.00717206532122133
34.875	0	-0.00855473323210003
35.	0	-0.012746883746059388
35.125	0	-0.013450469156294841
35.25	0	-0.016936817029595628
35.375	0	-0.017397028745079195
35.5	0	-0.01795376027470242
35.625	0	-0.019380944104709533
35.75	0	-0.020809183366851995
35.875	0	-0.019031562397136624
36.	0	-0.020946431217144023
36.125	0	-0.018692876749521747
36.25	0	-0.02072972925201179
36.375	0	-0.02056303978994455
36.5	0	-0.01644820192780605
36.625	0	-0.015371401113337894
36.75	0	-0.013940882116222603
36.875	0	-0.012847409289256534
37.	0	-0.01263091543139087
37.125	0	-0.008180878644911321
37.25	0	-0.0070433589526097155
37.375	0	-0.005717301157164804
37.5	0	-0.00024122103940217294
